,年化收益率,季度胜率,夏普比率,卡玛比率,参数
绩效数据,-0.05982960962036776,0.4523809523809524,-0.45463640920617254,-0.07787544755129772,cmo_length: 195; m_length: 195
绩效数据,-0.06862381120352479,0.47619047619047616,-0.49492422288233273,-0.08777437864139932,cmo_length: 195; m_length: 200
绩效数据,-0.05453599470218862,0.42857142857142855,-0.43082531653897815,-0.07054970685287762,cmo_length: 195; m_length: 205
绩效数据,-0.05773001906626829,0.42857142857142855,-0.44544476454347803,-0.07530603495401116,cmo_length: 195; m_length: 210
绩效数据,-0.059516612505524424,0.4523809523809524,-0.45363712729903993,-0.07525742372842568,cmo_length: 195; m_length: 215
绩效数据,-0.05490230175176747,0.42857142857142855,-0.4326558119989678,-0.07009538787739976,cmo_length: 195; m_length: 220
绩效数据,-0.05583475190066334,0.38095238095238093,-0.4373447875656183,-0.07159760945434654,cmo_length: 195; m_length: 225
绩效数据,-0.05542055902274645,0.38095238095238093,-0.4361111531925993,-0.07141282517300204,cmo_length: 195; m_length: 230
绩效数据,-0.05163895237849603,0.40476190476190477,-0.4190288689382839,-0.0670411206954785,cmo_length: 195; m_length: 235
绩效数据,0.03027125737499592,0.5714285714285714,-0.04371279481797803,0.07753603404875543,cmo_length: 200; m_length: 5
绩效数据,0.04222934303800918,0.5476190476190477,0.010050613941453453,0.07089940668636685,cmo_length: 200; m_length: 10
绩效数据,0.07964916071850459,0.5476190476190477,0.17888460412358678,0.1452816927859846,cmo_length: 200; m_length: 15
绩效数据,0.02119609624152341,0.5476190476190477,-0.08483695910336499,0.03271402826922952,cmo_length: 200; m_length: 20
绩效数据,0.03965169850358419,0.5476190476190477,-0.0015717349153733017,0.05570535099280698,cmo_length: 200; m_length: 25
绩效数据,0.047738367572854656,0.5,0.034926109607213235,0.07099983231460882,cmo_length: 200; m_length: 30
绩效数据,0.042552246920631864,0.5476190476190477,0.0115205065716665,0.06782165930915729,cmo_length: 200; m_length: 35
绩效数据,0.03992283431976462,0.5476190476190477,-0.0003483490235278944,0.06711925529271415,cmo_length: 200; m_length: 40
绩效数据,0.049309120117064564,0.5476190476190477,0.042033198593433484,0.09410254998494587,cmo_length: 200; m_length: 45
绩效数据,0.049516274289634454,0.5714285714285714,0.04297189106459112,0.09441617110372397,cmo_length: 200; m_length: 50
绩效数据,0.04929474922959165,0.5714285714285714,0.041975080101364116,0.0915308036916071,cmo_length: 200; m_length: 55
绩效数据,0.007536725348044504,0.5238095238095238,-0.14660444710536086,0.011906051706772188,cmo_length: 200; m_length: 60
绩效数据,-1.989035077643031e-05,0.6190476190476191,-0.1807941146229276,-3.0343872056584765e-05,cmo_length: 200; m_length: 65
绩效数据,-0.022887391419798897,0.5476190476190477,-0.28416406196829275,-0.032813393673976274,cmo_length: 200; m_length: 70
绩效数据,-0.006312566754698268,0.5238095238095238,-0.20936814260044723,-0.010051678319876257,cmo_length: 200; m_length: 75
绩效数据,0.00305969520289584,0.5238095238095238,-0.16706430067146236,0.004931113556286322,cmo_length: 200; m_length: 80
绩效数据,0.0003707237524379625,0.5,-0.17928564595658483,0.0006158562000546882,cmo_length: 200; m_length: 85
绩效数据,0.005890656626105439,0.5,-0.15437734862147937,0.010523783102539581,cmo_length: 200; m_length: 90
绩效数据,0.013377973552117117,0.47619047619047616,-0.12062844698679415,0.022739911130957805,cmo_length: 200; m_length: 95
绩效数据,0.029685515461848277,0.47619047619047616,-0.04674989887708857,0.058290823156453356,cmo_length: 200; m_length: 100
绩效数据,0.019218973758680313,0.47619047619047616,-0.09423080637363376,0.03499377286743641,cmo_length: 200; m_length: 105
绩效数据,0.00846410320319313,0.47619047619047616,-0.14305230266593225,0.015058332658079446,cmo_length: 200; m_length: 110
绩效数据,-0.018141114029927796,0.47619047619047616,-0.26379025754528795,-0.026752644713614725,cmo_length: 200; m_length: 115
